status,palenie.staz,palenie.rzucenie,palenie.uzaleznienie,"palenie.dzieci
poniżej 15 roku życia",palenie.stres,palenie.przyjemnosc,wiedza,wzorce,plec,wiek,staz,miejsce.pracy,test
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Nie,Nie dotyczy,Nie dotyczy,Przeciętnie,Tak,M,25 lat i mniej,0-4,Szpital,17
W dalszym ciągu palę,Mniej niż rok,Nie,Nie,Tak,Tak,Tak,Bardzo dobrze,Nie,K,25 lat i mniej,5-9,Szpital,19
Paliłem/łam,Nie palę/Nie dotyczy,"Tak, udało się",Tak,Tak,Nie dotyczy,Nie dotyczy,Przeciętnie,Nie dotyczy,K,25 lat i mniej,0-4,Szpital,19
Paliłem/łam,Nie palę/Nie dotyczy,"Tak, udało się",Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Przeciętnie,Tak,K,46-50,15 i więcej,Przychodnia,16
W dalszym ciągu palę,1-10 lat,"Tak, ale wróciłem/am do nałogu",Tak,Tak,Tak,Tak,Dobrze,Nie,K,31-35,5-9,Szpital,20
W dalszym ciągu palę,Mniej niż rok,"Tak, ale wróciłem/am do nałogu",Tak,Nie,Tak,Tak,Przeciętnie,Nie,K,25 lat i mniej,0-4,Szpital,11
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Źle,Nie dotyczy,M,26-30,0-4,Szpital,15
Paliłem/łam,Nie palę/Nie dotyczy,Nie dotyczy,Tak,Nie wiem/nie mam zdania,Tak,Nie dotyczy,Dobrze,Tak,K,26-30,5-9,Szpital,16
Paliłem/łam,1-10 lat,Nie,Nie dotyczy,Tak,Tak,Tak,Źle,Nie dotyczy,M,25 lat i mniej,5-9,Szpital,9
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Przeciętnie,Nie dotyczy,M,31-35,10-14,Przychodnia,13
Paliłem/łam,11-15 lat,"Tak, udało się",Nie dotyczy,Tak,Nie,Nie,Dobrze,Nie,M,36-40,15 i więcej,Szpital,14
Paliłem/łam,Więcej niż 15 l,"Tak, ale wróciłem/am do nałogu",Tak,Nie,Nie,Tak,Źle,Nie,K,51-55,15 i więcej,Szpital,11
Paliłem/łam,1-10 lat,Nie,Tak,Nie,Tak,Tak,Bardzo dobrze,Nie,M,26-30,10-14,Szpital,4
Paliłem/łam,Nie palę/Nie dotyczy,"Tak, udało się",Nie dotyczy,Nie,Nie dotyczy,Nie dotyczy,Przeciętnie,Nie dotyczy,M,26-30,5-9,Szpital,20
W dalszym ciągu palę,1-10 lat,"Tak, ale wróciłem/am do nałogu",Tak,Tak,Tak,Tak,Przeciętnie,Nie,K,26-30,10-14,Przychodnia,19
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Przeciętnie,Nie dotyczy,M,25 lat i mniej,0-4,Szpital,19
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Źle,Tak,M,31-35,10-14,Szpital,23
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Bardzo dobrze,Nie dotyczy,M,25 lat i mniej,0-4,Szpital,18
Paliłem/łam,1-10 lat,"Tak, udało się",Tak,Nie wiem/nie mam zdania,Nie,Nie,Bardzo dobrze,Nie,M,36-40,15 i więcej,Szpital,16
Paliłem/łam,1-10 lat,"Tak, udało się",Tak,Tak,Tak,Tak,Przeciętnie,Tak,M,31-35,10-14,Szpital,17
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Dobrze,Nie dotyczy,M,31-35,10-14,Przychodnia,14
W dalszym ciągu palę,1-10 lat,"Tak, ale wróciłem/am do nałogu",Tak,Tak,Tak,Tak,Przeciętnie,Nie,M,25 lat i mniej,0-4,Szpital,14
Paliłem/łam,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Dobrze,Tak,K,31-35,5-9,Szpital,18
Paliłem/łam,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Przeciętnie,Nie dotyczy,M,26-30,5-9,Szpital,20
W dalszym ciągu palę,1-10 lat,"Tak, ale wróciłem/am do nałogu",Tak,Tak,Nie,Tak,Bardzo dobrze,Tak,M,26-30,0-4,Szpital,14
Paliłem/łam,Więcej niż 15 l,"Tak, ale wróciłem/am do nałogu",Tak,Nie,Tak,Tak,Przeciętnie,Nie,M,31-35,15 i więcej,Szpital,16
Paliłem/łam,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Przeciętnie,Nie dotyczy,M,25 lat i mniej,0-4,Szpital,16
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Nie wiem/nie mam zdania,Nie dotyczy,Nie dotyczy,Dobrze,Nie dotyczy,M,25 lat i mniej,0-4,Szpital,17
Paliłem/łam,Nie palę/Nie dotyczy,"Tak, udało się",Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Bardzo dobrze,Nie dotyczy,K,46-50,15 i więcej,Szpital,22
Paliłem/łam,11-15 lat,"Tak, ale wróciłem/am do nałogu",Tak,Tak,Tak,Tak,Dobrze,Tak,K,36-40,15 i więcej,Szpital,12
Paliłem/łam,Więcej niż 15 l,"Tak, udało się",Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Przeciętnie,Nie dotyczy,K,46-50,15 i więcej,Szpital,15
W dalszym ciągu palę,1-10 lat,Nie,Tak,Tak,Tak,Tak,Dobrze,Nie,K,36-40,15 i więcej,Szpital,11
W dalszym ciągu palę,1-10 lat,"Tak, ale wróciłem/am do nałogu",Tak,Tak,Nie,Tak,Dobrze,Tak,K,51-55,10-14,Szpital,21
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Nie wiem/nie mam zdania,Nie dotyczy,Nie dotyczy,Przeciętnie,Nie dotyczy,K,51-55,15 i więcej,Szpital,15
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Dobrze,Nie dotyczy,K,46-50,15 i więcej,Szpital,11
Paliłem/łam,Nie palę/Nie dotyczy,"Tak, udało się",Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Dobrze,Tak,K,46-50,15 i więcej,Szpital,23
Paliłem/łam,Więcej niż 15 l,"Tak, udało się",Nie dotyczy,Nie,Nie dotyczy,Nie dotyczy,Dobrze,Tak,K,46-50,15 i więcej,Szpital,23
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Bardzo dobrze,Nie dotyczy,K,46-50,15 i więcej,Szpital,12
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Dobrze,Nie dotyczy,K,41-45,15 i więcej,Szpital,18
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Dobrze,Tak,K,46-50,15 i więcej,Przychodnia,16
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Przeciętnie,Nie,K,46-50,15 i więcej,Szpital,22
Paliłem/łam,Więcej niż 15 l,"Tak, udało się",Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Dobrze,Nie,K,51-55,15 i więcej,Szpital,19
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Przeciętnie,Tak,K,36-40,10-14,Przychodnia,22
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Tak,Nie wiem/nie mam zdania,Nie dotyczy,Nie dotyczy,Przeciętnie,Nie dotyczy,K,46-50,15 i więcej,Szpital,22
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Bardzo dobrze,Nie dotyczy,K,51-55,15 i więcej,Szpital,20
Paliłem/łam,Więcej niż 15 l,"Tak, udało się",Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Dobrze,Nie,K,51-55,15 i więcej,Szpital,20
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Przeciętnie,Nie dotyczy,K,46-50,15 i więcej,Szpital,17
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie,Nie,Przeciętnie,Tak,K,25 lat i mniej,0-4,Szpital,17
Paliłem/łam,Nie palę/Nie dotyczy,"Tak, udało się",Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Dobrze,Tak,K,36-40,0-4,Szpital,14
W dalszym ciągu palę,11-15 lat,"Tak, ale wróciłem/am do nałogu",Nie,Tak,Tak,Tak,Bardzo dobrze,Tak,K,46-50,15 i więcej,Szpital,19
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Dobrze,Nie dotyczy,K,46-50,15 i więcej,Szpital,18
Paliłem/łam,Nie palę/Nie dotyczy,"Tak, udało się",Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Dobrze,Nie,K,46-50,15 i więcej,Szpital,22
Paliłem/łam,Nie palę/Nie dotyczy,Nie dotyczy,Nie,Tak,Nie,Nie,Przeciętnie,Nie,K,46-50,15 i więcej,Szpital,15
Paliłem/łam,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Przeciętnie,Nie dotyczy,K,51-55,15 i więcej,Szpital,11
Paliłem/łam,Nie palę/Nie dotyczy,"Tak, udało się",Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Dobrze,Tak,K,41-45,15 i więcej,Szpital,20
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Bardzo dobrze,Nie dotyczy,K,46-50,15 i więcej,Szpital,21
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Dobrze,Nie dotyczy,K,26-30,0-4,Szpital,19
Paliłem/łam,Nie palę/Nie dotyczy,"Tak, udało się",Nie,Tak,Tak,Nie,Bardzo dobrze,Nie dotyczy,K,31-35,0-4,Szpital,22
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Przeciętnie,Nie dotyczy,K,46-50,15 i więcej,Szpital,21
W dalszym ciągu palę,11-15 lat,"Tak, ale wróciłem/am do nałogu",Tak,Tak,Tak,Tak,Dobrze,Tak,K,46-50,15 i więcej,Szpital,18
W dalszym ciągu palę,1-10 lat,"Tak, ale wróciłem/am do nałogu",Tak,Tak,Tak,Tak,Dobrze,Nie dotyczy,K,36-40,15 i więcej,Szpital,16
Paliłem/łam,Nie palę/Nie dotyczy,"Tak, udało się",Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Bardzo dobrze,Nie dotyczy,K,46-50,15 i więcej,Szpital,22
W dalszym ciągu palę,11-15 lat,"Tak, ale wróciłem/am do nałogu",Tak,Tak,Tak,Tak,Dobrze,Tak,K,46-50,15 i więcej,Szpital,20
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Przeciętnie,Nie dotyczy,K,46-50,15 i więcej,Przychodnia,17
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Bardzo dobrze,Nie dotyczy,K,26-30,5-9,Szpital,21
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Dobrze,Nie,K,51-55,15 i więcej,Szpital,11
W dalszym ciągu palę,1-10 lat,"Tak, udało się",Tak,Tak,Nie,Tak,Dobrze,Tak,K,41-45,5-9,Szpital,21
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Dobrze,Nie dotyczy,K,46-50,15 i więcej,Szpital,15
W dalszym ciągu palę,11-15 lat,"Tak, udało się",Tak,Tak,Tak,Tak,Przeciętnie,Nie,K,46-50,15 i więcej,Szpital,11
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Dobrze,Nie dotyczy,K,51-55,15 i więcej,Szpital,19
Paliłem/łam,Mniej niż rok,"Tak, udało się",Tak,Tak,Tak,Tak,Bardzo dobrze,Nie,K,46-50,15 i więcej,Szpital,20
W dalszym ciągu palę,1-10 lat,"Tak, ale wróciłem/am do nałogu",Tak,Tak,Tak,Tak,Bardzo dobrze,Tak,K,46-50,15 i więcej,Szpital,25
Paliłem/łam,Nie palę/Nie dotyczy,"Tak, udało się",Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Dobrze,Nie,K,51-55,15 i więcej,Szpital,13
W dalszym ciągu palę,Więcej niż 15 l,"Tak, ale wróciłem/am do nałogu",Tak,Tak,Tak,Tak,Bardzo dobrze,Nie,K,46-50,15 i więcej,Szpital,20
Paliłem/łam,Mniej niż rok,"Tak, udało się",Tak,Tak,Tak,Tak,Dobrze,Nie,K,41-45,15 i więcej,Szpital,12
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Dobrze,Nie dotyczy,M,41-45,15 i więcej,Szpital,17
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Dobrze,Nie dotyczy,K,46-50,15 i więcej,Szpital,12
Paliłem/łam,Nie palę/Nie dotyczy,Nie dotyczy,Tak,Tak,Nie dotyczy,Nie dotyczy,Dobrze,Tak,M,25 lat i mniej,0-4,Szpital,18
Paliłem/łam,Nie palę/Nie dotyczy,"Tak, udało się",Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Przeciętnie,Nie,K,36-40,5-9,Szpital,15
Paliłem/łam,1-10 lat,"Tak, ale wróciłem/am do nałogu",Tak,Nie,Tak,Tak,Bardzo dobrze,Nie,M,41-45,15 i więcej,Szpital,19
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Przeciętnie,Nie dotyczy,K,26-30,0-4,Szpital,23
W dalszym ciągu palę,Więcej niż 15 l,"Tak, ale wróciłem/am do nałogu",Tak,Nie wiem/nie mam zdania,Tak,Tak,Przeciętnie,Nie dotyczy,K,36-40,0-4,Szpital,19
Paliłem/łam,Nie palę/Nie dotyczy,"Tak, udało się",Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Dobrze,Tak,K,51-55,15 i więcej,Przychodnia,22
Paliłem/łam,Nie palę/Nie dotyczy,"Tak, udało się",Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Dobrze,Tak,K,36-40,0-4,Szpital,22
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Nie wiem/nie mam zdania,Nie dotyczy,Nie dotyczy,Dobrze,Nie dotyczy,K,46-50,15 i więcej,Szpital,17
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Dobrze,Nie dotyczy,K,41-45,15 i więcej,Szpital,21
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Dobrze,Nie,K,26-30,0-4,Szpital,16
W dalszym ciągu palę,11-15 lat,"Tak, udało się",Nie,Nie wiem/nie mam zdania,Nie,Nie,Dobrze,Nie,K,41-45,15 i więcej,Szpital,18
Paliłem/łam,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Dobrze,Nie dotyczy,K,46-50,15 i więcej,Szpital,23
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Bardzo dobrze,Nie dotyczy,K,46-50,15 i więcej,Szpital,22
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Bardzo dobrze,Nie dotyczy,M,31-35,5-9,Szpital,17
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Przeciętnie,Nie dotyczy,K,26-30,5-9,Szpital,13
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Dobrze,Nie dotyczy,M,31-35,0-4,Szpital,18
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Dobrze,Nie dotyczy,K,26-30,0-4,Szpital,10
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Przeciętnie,Nie dotyczy,M,41-45,15 i więcej,Szpital,20
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Dobrze,Tak,K,46-50,15 i więcej,Szpital,20
Nigdy nie paliłem/am,Nie palę/Nie dotyczy,Nie dotyczy,Nie dotyczy,Tak,Nie dotyczy,Nie dotyczy,Dobrze,Nie dotyczy,K,25 lat i mniej,0-4,Szpital,22
W dalszym ciągu palę,Więcej niż 15 l,Nie,Tak,Tak,Tak,Tak,Dobrze,Tak,K,41-45,5-9,Szpital,21
W dalszym ciągu palę,11-15 lat,"Tak, ale wróciłem/am do nałogu",Tak,Tak,Tak,Tak,Bardzo dobrze,Tak,K,41-45,15 i więcej,Szpital,24
